ID,Species,yday,Hour,Day,Mass,deltaM,Temp,RH,VPD,gwc,WP,Rad_weighted,Shoot,Leaf,deltaM.Leaf,deltaM.Shoot,Batch,Group
Acaexu1,Acaexu,272,10,6,5475.491667,3.675,25.36666667,73.36666667,0.86233629,0.030735299,-0.991412784,797.4169494,6.0147,2.924,1.256839945,0.611003043,14,Tree
Acaexu1,Acaexu,267,23,1,5844.733333,0.158333333,23.4,94.54166667,0.157097945,0.079235069,-0.562176191,797.4169494,6.0147,2.924,0.054149567,0.026324394,14,Tree
Acaexu1,Acaexu,270,11,4,5609.1,7.991666667,26,74.93333333,0.842599319,0.048284709,-0.756473602,797.4169494,6.0147,2.924,2.733128135,1.328689156,14,Tree
Acaexu1,Acaexu,270,18,4,5557.141667,6.691666667,26.05833333,70.025,1.011059898,0.041459999,-0.828059923,797.4169494,6.0147,2.924,2.288531692,1.112552025,14,Tree
Acaexu1,Acaexu,272,2,6,5485.65,0.133333333,23.5,97.05833333,0.085176864,0.032069592,-0.966080631,797.4169494,6.0147,2.924,0.045599635,0.022167911,14,Tree
Acaexu1,Acaexu,267,16,1,5869.958333,7.316666667,25.90833333,72.29166667,0.926346837,0.082548365,-0.548138896,797.4169494,6.0147,2.924,2.502279982,1.216464107,14,Tree
Acaexu1,Acaexu,270,19,4,5550.85,6.291666667,26.19166667,69.83333333,1.025577831,0.040633591,-0.838042145,797.4169494,6.0147,2.924,2.151732786,1.046048293,14,Tree
Acaexu1,Acaexu,268,0,2,5844.608333,0.125,23.4,95.89166667,0.118243186,0.079218651,-0.562247846,797.4169494,6.0147,2.924,0.042749658,0.020782416,14,Tree
Acaexu1,Acaexu,270,6,4,5634.891667,0.15,23.46666667,97.8,0.063574073,0.051672436,-0.726683471,797.4169494,6.0147,2.924,0.05129959,0.0249389,14,Tree
Acaexu1,Acaexu,268,13,2,5803.458333,8.4,25.81666667,72.61666667,0.910340674,0.073813612,-0.587077845,797.4169494,6.0147,2.924,2.872777018,1.396578383,14,Tree
Acaexu1,Acaexu,272,18,6,5447.941667,2.766666667,26.25833333,68.94166667,1.060050079,0.027116615,-1.070960721,797.4169494,6.0147,2.924,0.94619243,0.45998415,14,Tree
Acaexu1,Acaexu,268,20,2,5745.358333,5.05,23.66666667,73.01666667,0.794992207,0.066182196,-0.627090304,797.4169494,6.0147,2.924,1.727086183,0.839609623,14,Tree
Acaexu1,Acaexu,271,2,5,5546.9,0.141666667,23.5,96.86666667,0.090726631,0.04011476,-0.844481776,797.4169494,6.0147,2.924,0.048449612,0.023553405,14,Tree
Acaexu1,Acaexu,267,17,1,5862.6,7.358333333,25.775,71.2,0.955274267,0.08158185,-0.552149074,797.4169494,6.0147,2.924,2.516529868,1.22339158,14,Tree
Acaexu1,Acaexu,273,8,7,5440.833333,1.525,26.15833333,96.05833333,0.13505725,0.026182938,-1.094632224,797.4169494,6.0147,2.924,0.521545828,0.25354548,14,Tree
Acaexu1,Acaexu,269,3,3,5743.966667,0.116666667,23.5,97.39166667,0.075525094,0.065999401,-0.628132626,797.4169494,6.0147,2.924,0.039899681,0.019396922,14,Tree
Acaexu1,Acaexu,268,1,2,5844.533333,0.075,23.45,96.74166667,0.094047336,0.079208799,-0.562290849,797.4169494,6.0147,2.924,0.025649795,0.01246945,14,Tree
Acaexu1,Acaexu,273,3,7,5442.916667,0.191666667,23.4,97.11666667,0.08298609,0.026456583,-1.087539069,797.4169494,6.0147,2.924,0.065549476,0.031866372,14,Tree
Acaexu1,Acaexu,269,18,3,5650.041667,9.075,26,70.69166667,0.985170541,0.053662383,-0.710584951,797.4169494,6.0147,2.924,3.103625171,1.508803432,14,Tree
